#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3C7412B6098CEF2-1DC787F1F19F00D7
#datatype	hitsConcise Results
#status	0
#Start time	2022-04-21T02:14:00	Run time	0:00:28:52
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#70 - >70	superfamily	421389	12	302	1.06056e-39	141.273	cl26744	TPT superfamily	 - 	 - 
Q#71 - >71	specific	399123	35	323	3.28967e-128	366.53	pfam05910	DUF868	 - 	cl05466
Q#72 - >72	specific	214815	134	191	1.28272e-38	130.684	smart00774	WRKY	 - 	cl03892
Q#73 - >73	specific	214815	176	232	1.19925e-36	126.447	smart00774	WRKY	 - 	cl03892
Q#74 - >74	specific	397294	34	93	5.69978e-28	99.8534	pfam03106	WRKY	 - 	cl03892
Q#75 - >75	specific	214815	68	125	1.93784e-33	114.891	smart00774	WRKY	 - 	cl03892
Q#76 - >76	specific	214815	295	348	1.42551e-32	116.047	smart00774	WRKY	 - 	cl03892
Q#76 - >76	specific	402248	258	293	4.61143e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#77 - >77	specific	404074	136	402	9.91779e-101	301.925	pfam13088	BNR_2	 - 	cl21531
Q#78 - >78	specific	397294	328	384	5.9719e-37	128.358	pfam03106	WRKY	 - 	cl03892
Q#79 - >79	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#80 - >80	specific	397294	147	215	1.25698e-28	104.476	pfam03106	WRKY	 - 	cl03892
Q#81 - >81	specific	214815	139	200	3.43213e-31	111.81	smart00774	WRKY	 - 	cl03892
Q#82 - >82	specific	214815	117	177	5.66969e-34	118.743	smart00774	WRKY	 - 	cl03892
Q#83 - >83	superfamily	173412	39	325	1.13497e-19	96.3634	cl31754	PTZ00121 superfamily	NC	 - 
Q#84 - >84	specific	214815	187	244	3.2406e-36	124.906	smart00774	WRKY	 - 	cl03892
Q#85 - >85	specific	214815	147	205	9.73259e-34	117.588	smart00774	WRKY	 - 	cl03892
Q#86 - >86	specific	214815	143	200	8.3306e-33	116.432	smart00774	WRKY	 - 	cl03892
Q#87 - >87	specific	214815	384	441	3.43858e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#87 - >87	specific	397294	221	275	1.06715e-32	119.113	pfam03106	WRKY	 - 	cl03892
Q#87 - >87	superfamily	180887	288	387	0.0043044	39.7408	cl32198	PRK07211 superfamily	N	 - 
Q#88 - >88	specific	214815	192	250	1.92193e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#89 - >89	specific	214815	239	297	2.4304e-35	125.677	smart00774	WRKY	 - 	cl03892
Q#90 - >90	specific	214815	121	185	1.11145e-26	98.7128	smart00774	WRKY	 - 	cl03892
Q#91 - >91	specific	214815	205	262	5.4024e-34	119.899	smart00774	WRKY	 - 	cl03892
Q#92 - >92	specific	215412	1	643	0	1015.39	PLN02769	PLN02769	 - 	cl30823
Q#93 - >93	specific	214815	97	155	2.605e-35	121.825	smart00774	WRKY	 - 	cl03892
Q#94 - >94	specific	214815	389	446	1.12221e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#94 - >94	specific	397294	222	276	2.25851e-28	106.402	pfam03106	WRKY	 - 	cl03892
Q#95 - >95	specific	214815	182	236	3.01471e-30	109.498	smart00774	WRKY	 - 	cl03892
Q#96 - >96	specific	214815	175	232	4.7728e-36	122.21	smart00774	WRKY	 - 	cl03892
Q#97 - >97	specific	214815	309	363	1.08977e-27	104.491	smart00774	WRKY	 - 	cl03892
Q#98 - >98	specific	214815	339	396	1.87469e-31	114.506	smart00774	WRKY	 - 	cl03892
Q#98 - >98	specific	214815	194	249	3.53488e-27	102.95	smart00774	WRKY	 - 	cl03892
Q#99 - >99	specific	404788	582	693	5.18507e-32	120.36	pfam13962	PGG	 - 	cl16503
Q#99 - >99	specific	404788	9	119	4.25954e-31	117.663	pfam13962	PGG	 - 	cl16503
Q#99 - >99	specific	404788	190	301	1.76607e-28	110.344	pfam13962	PGG	 - 	cl16503
Q#99 - >99	specific	404788	429	519	1.50711e-19	84.9213	pfam13962	PGG	 - 	cl16503
Q#99 - >99	superfamily	404788	776	895	2.72203e-17	78.3729	cl16503	PGG superfamily	 - 	 - 
Q#100 - >100	specific	212164	13	269	3.22222e-76	238.862	cd11650	AT4G37440_like	 - 	cl17008
Q#101 - >101	specific	396785	10	140	2.0933e-25	101.348	pfam02365	NAM	 - 	cl03558
Q#102 - >102	specific	214815	320	378	2.1006e-37	129.144	smart00774	WRKY	 - 	cl03892
Q#102 - >102	specific	402248	283	318	1.57679e-09	52.8859	pfam10533	Plant_zn_clust	 - 	cl11166
Q#103 - >103	specific	214815	162	218	1.73638e-31	114.121	smart00774	WRKY	 - 	cl03892
Q#105 - >105	specific	214815	69	130	1.75061e-27	101.024	smart00774	WRKY	 - 	cl03892
Q#106 - >106	specific	396785	9	147	2.81402e-25	101.348	pfam02365	NAM	 - 	cl03558
Q#107 - >107	specific	214815	143	203	4.17134e-34	120.669	smart00774	WRKY	 - 	cl03892
Q#108 - >108	superfamily	408661	124	220	9.18258e-22	88.3997	cl40899	FANCL_d3 superfamily	 - 	 - 
Q#108 - >108	superfamily	418438	229	290	4.52834e-15	68.9945	cl17238	RING_Ubox superfamily	C	 - 
Q#108 - >108	superfamily	408660	31	125	9.17623e-12	60.3779	cl40898	FANCL_d2 superfamily	 - 	 - 
Q#109 - >109	superfamily	215636	169	523	3.14431e-39	157.346	cl33664	PLN03218 superfamily	NC	 - 
Q#109 - >109	specific	404055	517	562	2.6318e-12	61.9955	pfam13041	PPR_2	 - 	cl38385
Q#109 - >109	specific	404055	591	633	2.81484e-10	56.2176	pfam13041	PPR_2	 - 	cl38385
Q#109 - >109	superfamily	407303	532	682	6.16694e-10	59.7176	cl38513	PPR_long superfamily	 - 	 - 
Q#110 - >110	specific	397294	147	207	1.84116e-27	101.394	pfam03106	WRKY	 - 	cl03892
Q#111 - >111	superfamily	413846	1	22	7.56872e-08	48.2516	cl03892	WRKY superfamily	NC	 - 
Q#112 - >112	specific	396290	41	315	5.00372e-152	432.868	pfam01650	Peptidase_C13	 - 	cl00042
Q#112 - >112	specific	411051	348	466	9.76466e-26	101.213	cd21115	legumain_C	 - 	cl41234
Q#113 - >113	specific	214815	134	191	1.78098e-34	117.202	smart00774	WRKY	 - 	cl03892
Q#114 - >114	specific	397294	114	174	4.37139e-28	102.165	pfam03106	WRKY	 - 	cl03892
Q#115 - >115	specific	214815	433	490	2.52162e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#116 - >116	specific	214815	238	295	1.11307e-34	124.136	smart00774	WRKY	 - 	cl03892
Q#117 - >117	specific	214815	121	182	1.34902e-32	115.276	smart00774	WRKY	 - 	cl03892
Q#118 - >118	specific	214815	135	197	2.30662e-30	109.884	smart00774	WRKY	 - 	cl03892
Q#119 - >119	specific	214815	140	201	2.96825e-31	111.81	smart00774	WRKY	 - 	cl03892
Q#120 - >120	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#120 - >120	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#121 - >121	specific	398722	179	221	3.43704e-21	87.2164	pfam05182	Fip1	 - 	cl02162
Q#122 - >122	specific	396290	1	133	9.33642e-63	198.282	pfam01650	Peptidase_C13	N	cl00042
Q#122 - >122	specific	411051	161	277	4.04125e-24	93.8943	cd21115	legumain_C	 - 	cl41234
Q#123 - >123	specific	399123	35	323	1.98932e-128	367.3	pfam05910	DUF868	 - 	cl05466
Q#124 - >124	specific	215412	48	645	0	1026.56	PLN02769	PLN02769	 - 	cl30823
Q#125 - >125	specific	397294	169	225	2.95918e-32	112.18	pfam03106	WRKY	 - 	cl03892
Q#125 - >125	specific	402248	122	165	3.11726e-05	40.1743	pfam10533	Plant_zn_clust	 - 	cl11166
Q#126 - >126	specific	214815	118	178	2.16028e-35	121.44	smart00774	WRKY	 - 	cl03892
Q#127 - >127	specific	397294	239	295	9.46454e-34	117.573	pfam03106	WRKY	 - 	cl03892
Q#128 - >128	specific	214815	148	205	1.25809e-31	110.269	smart00774	WRKY	 - 	cl03892
Q#129 - >129	specific	214815	366	423	4.66342e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#129 - >129	specific	214815	200	255	2.31887e-30	111.81	smart00774	WRKY	 - 	cl03892
Q#130 - >130	specific	214815	43	104	2.54774e-28	101.409	smart00774	WRKY	 - 	cl03892
Q#131 - >131	specific	214815	136	193	2.38401e-33	114.891	smart00774	WRKY	 - 	cl03892
Q#133 - >133	specific	214815	306	362	2.5184e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#134 - >134	specific	214815	403	460	2.81408e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#135 - >135	specific	214815	143	201	7.45151e-34	118.358	smart00774	WRKY	 - 	cl03892
Q#136 - >136	specific	214815	95	152	7.56664e-33	111.81	smart00774	WRKY	 - 	cl03892
Q#137 - >137	superfamily	335237	89	600	0	766.467	cl28725	Methyltransf_29 superfamily	 - 	 - 
Q#138 - >138	specific	212164	13	269	3.22222e-76	238.862	cd11650	AT4G37440_like	 - 	cl17008
Q#139 - >139	specific	214815	93	151	4.9472e-36	124.136	smart00774	WRKY	 - 	cl03892
Q#140 - >140	superfamily	227438	344	627	5.42523e-08	56.1802	cl34906	RNA14 superfamily	C	 - 
Q#140 - >140	specific	214642	121	153	7.2025e-05	40.225	smart00386	HAT	 - 	cl02592
Q#140 - >140	superfamily	421384	31	185	0.000168212	44.567	cl26712	U3_assoc_6 superfamily	C	 - 
Q#140 - >140	superfamily	111114	223	251	0.000554599	37.9304	cl03482	HAT superfamily	 - 	 - 
Q#141 - >141	specific	214815	174	231	6.65192e-38	130.299	smart00774	WRKY	 - 	cl03892
Q#142 - >142	superfamily	335237	89	600	0	766.467	cl28725	Methyltransf_29 superfamily	 - 	 - 
Q#143 - >143	specific	214815	140	201	2.96825e-31	111.81	smart00774	WRKY	 - 	cl03892
Q#144 - >144	specific	399123	35	325	4.31563e-128	366.53	pfam05910	DUF868	 - 	cl05466
Q#145 - >145	specific	214815	38	163	1.02221e-20	82.1492	smart00774	WRKY	 - 	cl03892
Q#146 - >146	specific	214815	97	155	2.605e-35	121.825	smart00774	WRKY	 - 	cl03892
Q#147 - >147	specific	214815	132	192	2.41949e-35	122.98	smart00774	WRKY	 - 	cl03892
Q#148 - >148	specific	214815	366	423	4.66342e-35	124.521	smart00774	WRKY	 - 	cl03892
Q#148 - >148	specific	214815	200	255	2.31887e-30	111.81	smart00774	WRKY	 - 	cl03892
Q#149 - >149	superfamily	412389	51	352	9.08833e-17	80.2304	cl00459	MIT_CorA-like superfamily	 - 	 - 
Q#150 - >150	specific	214815	382	436	6.45265e-30	111.039	smart00774	WRKY	 - 	cl03892
Q#150 - >150	superfamily	227489	25	177	2.22801e-07	53.3741	cl27325	ULP1 superfamily	N	 - 
Q#151 - >151	specific	214815	182	236	3.01471e-30	109.498	smart00774	WRKY	 - 	cl03892
Q#152 - >152	specific	214815	151	209	5.38742e-33	115.662	smart00774	WRKY	 - 	cl03892
Q#153 - >153	specific	398722	179	221	3.43704e-21	87.2164	pfam05182	Fip1	 - 	cl02162
Q#154 - >154	specific	397294	148	203	1.91284e-32	115.261	pfam03106	WRKY	 - 	cl03892
Q#155 - >155	specific	214815	53	111	2.27173e-22	83.69	smart00774	WRKY	 - 	cl03892
Q#156 - >156	specific	214815	95	152	7.56664e-33	111.81	smart00774	WRKY	 - 	cl03892
Q#157 - >157	superfamily	412377	24	362	9.62577e-117	341.293	cl00437	Zip superfamily	 - 	 - 
Q#158 - >158	specific	397294	229	287	1.51993e-35	124.891	pfam03106	WRKY	 - 	cl03892
Q#159 - >159	specific	214815	339	396	1.87469e-31	114.506	smart00774	WRKY	 - 	cl03892
Q#159 - >159	specific	214815	194	249	3.53488e-27	102.95	smart00774	WRKY	 - 	cl03892
Q#160 - >160	specific	214815	250	306	5.22244e-33	119.514	smart00774	WRKY	 - 	cl03892
Q#161 - >161	specific	214815	152	212	5.93302e-34	118.743	smart00774	WRKY	 - 	cl03892
Q#162 - >162	specific	214815	320	376	2.74888e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#163 - >163	specific	404788	582	693	4.43441e-32	120.745	pfam13962	PGG	 - 	cl16503
Q#163 - >163	specific	404788	9	119	2.91406e-31	118.434	pfam13962	PGG	 - 	cl16503
Q#163 - >163	specific	404788	190	301	1.46699e-28	110.73	pfam13962	PGG	 - 	cl16503
Q#163 - >163	specific	404788	429	519	1.33981e-19	84.9213	pfam13962	PGG	 - 	cl16503
Q#163 - >163	superfamily	404788	776	848	1.01807e-14	71.0541	cl16503	PGG superfamily	C	 - 
Q#164 - >164	specific	214815	175	231	4.42232e-31	111.424	smart00774	WRKY	 - 	cl03892
Q#165 - >165	specific	404074	136	402	9.91779e-101	301.925	pfam13088	BNR_2	 - 	cl21531
Q#166 - >166	specific	214815	43	104	1.56835e-28	101.794	smart00774	WRKY	 - 	cl03892
Q#167 - >167	specific	214815	128	185	3.06464e-36	121.054	smart00774	WRKY	 - 	cl03892
Q#168 - >168	specific	214815	176	232	1.19925e-36	126.447	smart00774	WRKY	 - 	cl03892
Q#169 - >169	specific	397294	147	207	1.84116e-27	101.394	pfam03106	WRKY	 - 	cl03892
Q#170 - >170	specific	397294	129	194	2.97053e-25	96.3866	pfam03106	WRKY	 - 	cl03892
Q#171 - >171	specific	214815	200	257	3.01042e-35	124.136	smart00774	WRKY	 - 	cl03892
Q#172 - >172	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#172 - >172	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#173 - >173	specific	214815	69	130	1.75061e-27	101.024	smart00774	WRKY	 - 	cl03892
Q#174 - >174	specific	214815	122	183	7.82633e-29	106.417	smart00774	WRKY	 - 	cl03892
Q#175 - >175	superfamily	419665	104	375	4.74774e-80	247.956	cl21453	PKc_like superfamily	 - 	 - 
Q#176 - >176	specific	397294	131	190	8.81529e-28	102.55	pfam03106	WRKY	 - 	cl03892
Q#177 - >177	superfamily	415594	140	204	1.15221e-29	107.641	cl09141	ACT superfamily	 - 	 - 
Q#177 - >177	superfamily	419665	259	303	1.39407e-12	66.0219	cl21453	PKc_like superfamily	C	 - 
Q#177 - >177	superfamily	235342	23	186	1.8084e-06	49.4819	cl35282	PRK05092 superfamily	N	 - 
Q#178 - >178	specific	397294	328	384	5.9719e-37	128.358	pfam03106	WRKY	 - 	cl03892
Q#179 - >179	specific	214815	389	446	1.12221e-33	121.054	smart00774	WRKY	 - 	cl03892
Q#179 - >179	specific	397294	222	276	2.25851e-28	106.402	pfam03106	WRKY	 - 	cl03892
Q#180 - >180	specific	214815	136	196	2.37379e-22	87.1568	smart00774	WRKY	 - 	cl03892
Q#181 - >181	specific	214815	205	262	5.4024e-34	119.899	smart00774	WRKY	 - 	cl03892
Q#182 - >182	specific	214815	187	244	3.2406e-36	124.906	smart00774	WRKY	 - 	cl03892
Q#183 - >183	specific	214815	409	466	9.16384e-37	130.684	smart00774	WRKY	 - 	cl03892
Q#183 - >183	specific	397294	237	291	1.74356e-31	116.032	pfam03106	WRKY	 - 	cl03892
Q#184 - >184	specific	214815	117	177	5.66969e-34	118.743	smart00774	WRKY	 - 	cl03892
Q#185 - >185	specific	214815	121	185	1.11145e-26	98.7128	smart00774	WRKY	 - 	cl03892
Q#186 - >186	specific	214815	384	441	3.43858e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#186 - >186	specific	397294	221	275	1.06715e-32	119.113	pfam03106	WRKY	 - 	cl03892
Q#186 - >186	superfamily	180887	288	387	0.0043044	39.7408	cl32198	PRK07211 superfamily	N	 - 
Q#187 - >187	specific	397294	522	576	9.08316e-31	114.876	pfam03106	WRKY	 - 	cl03892
Q#187 - >187	specific	214815	752	827	4.87849e-27	104.491	smart00774	WRKY	 - 	cl03892
Q#188 - >188	specific	215412	1	643	0	1015.39	PLN02769	PLN02769	 - 	cl30823
Q#190 - >190	superfamily	421389	12	302	1.06056e-39	141.273	cl26744	TPT superfamily	 - 	 - 
Q#191 - >191	specific	214815	435	492	2.54893e-35	126.832	smart00774	WRKY	 - 	cl03892
Q#192 - >192	specific	214815	170	226	2.31657e-35	124.906	smart00774	WRKY	 - 	cl03892
Q#193 - >193	specific	214815	165	223	1.25443e-34	120.669	smart00774	WRKY	 - 	cl03892
Q#194 - >194	specific	396785	10	139	1.5157e-25	101.733	pfam02365	NAM	 - 	cl03558
Q#195 - >195	specific	214815	295	348	1.42551e-32	116.047	smart00774	WRKY	 - 	cl03892
Q#195 - >195	specific	402248	258	293	4.61143e-10	54.4267	pfam10533	Plant_zn_clust	 - 	cl11166
Q#196 - >196	specific	214815	174	224	7.13299e-28	103.335	smart00774	WRKY	 - 	cl03892
Q#197 - >197	specific	214815	203	260	1.48293e-32	116.817	smart00774	WRKY	 - 	cl03892
Q#198 - >198	specific	396290	41	315	5.00372e-152	432.868	pfam01650	Peptidase_C13	 - 	cl00042
Q#198 - >198	specific	411051	348	466	9.76466e-26	101.213	cd21115	legumain_C	 - 	cl41234
Q#199 - >199	superfamily	413846	170	190	4.37254e-09	51.7184	cl03892	WRKY superfamily	C	 - 
Q#201 - >201	specific	214815	102	173	8.9851e-25	94.4756	smart00774	WRKY	 - 	cl03892
Q#203 - >203	specific	214815	403	460	2.81408e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#204 - >204	specific	214815	357	413	4.31731e-34	123.366	smart00774	WRKY	 - 	cl03892
Q#205 - >205	superfamily	227438	344	627	5.42523e-08	56.1802	cl34906	RNA14 superfamily	C	 - 
Q#205 - >205	specific	214642	121	153	7.2025e-05	40.225	smart00386	HAT	 - 	cl02592
Q#205 - >205	superfamily	421384	31	185	0.000168212	44.567	cl26712	U3_assoc_6 superfamily	C	 - 
Q#205 - >205	superfamily	111114	223	251	0.000554599	37.9304	cl03482	HAT superfamily	 - 	 - 
Q#206 - >206	specific	214815	126	190	6.71024e-32	113.35	smart00774	WRKY	 - 	cl03892
Q#207 - >207	specific	214815	487	544	2.60937e-35	127.218	smart00774	WRKY	 - 	cl03892
Q#207 - >207	specific	214815	277	331	5.98906e-31	114.891	smart00774	WRKY	 - 	cl03892
Q#208 - >208	specific	214815	391	448	2.51994e-34	123.751	smart00774	WRKY	 - 	cl03892
Q#208 - >208	specific	214815	219	274	2.07447e-31	115.662	smart00774	WRKY	 - 	cl03892
